sentence,target_word,substitutions_votes
"""In March 1992 , Linux version 0.95 was the first to be capable of running X. This large version number jump was due to a feeling that a version 1.0 with no major missing pieces was imminent .""",pieces,parts:40 component:1 sections:1 elements:1 part:1 components:2 bits:3 information:1 items:1
Much of the water carried by these streams is diverted .,diverted,drawn away:2 redirected:17 changed:5 turned:2 moved:5 rerouted:7 led away:1 sent away:1 separated:2 switched:2 split:2 altered:2 veered:1 channeled:1 deflected:1
"""Harry also becomes the worthy possessor of the remaining Deathly Hallows : the Invisibility Cloak and the Resurrection Stone , hence becoming the true Master of Death .""",possessor,owner:42 buyer:1 holder:4 master:1 keeper:2 teacher:1
"""Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other perils , often in combination .""",perils,dangers:42 difficulties:1 danger:1 restraints:1 problems:1 risks:1 hazards:1 fates:1 situations:1 troubles:1
"""The storm continued , crossing the Outer Banks of North Carolina , and retained its strength until June 20 when it became extratropical near Newfoundland .""",retained,kept:38 held:9 maintained:3 regained:1
The Convent has been the official residence of the Governor of Gibraltar since 1728 .,residence,home:40 dwelling:2 people:1 house:6 abode:1 owner:1
Food is procured with its suckers and then crushed using its tough `` beak '' of chitin .,procured,obtained:17 gotten:8 found:1 gathered:9 batten:1 aquired:1 grabbed:4 created:1 attained:1 made:2 acquired:2 received:1 processed:1 collected:1 secured:1
"""The United States convened a 13-nation conference of the International Opium Commission in 1909 in Shanghai , China in response to increasing criticism of the opium trade .""",convened,opened:2 started:3 assembled:11 called:11 gathered:6 created:2 made:2 aggregated:1 brought together:1 hosted:1 organized:3 held:5 met:3 ordered:1
Photosynthesis is vital for life on Earth .,vital,important:18 critical:2 essential:8 necessary:11 needed:8 required:3 crucial:1
"""Dodd simply retained his athletic director position , which he had acquired in 1950 .""",acquired,received:7 gotten:13 got:7 achieved:3 gained:11 taken:2 amassed:1 obtained:5 started:1 inherited:1
"""Radiometric dating is a technique used to date materials , usually based on a comparison between the observed abundance of a naturally occurring radioactive isotope and its decay products , using known decay rates .""",abundance,plenty:8 large amount:3 supply:3 a lot:1 amount:15 bounty:2 surplus:4 excess:2 great amount:1 wealth:3 quantity:1 plenitude:2 outpouring:1 portion:1 profusion:1 availability:1 heap:1 growth:1
"""Bacterial contaminants are ubiquitous , and foods left unused too long will often acquire substantial amounts of bacterial colonies and become dangerous to eat , leading to food poisoning .""",substantial,significant:4 huge:1 large:34 big:3 high:1 heavy:1 many:1 extensive:1 major:1 copious:1 great:1 a lot:2
"""Tibooburra has an arid , desert climate with temperatures soaring above 40 Celsius in summer , often reaching as high as 47 C .""",arid,dry:48 desolate:1 moistureless:1 barren:1
"""Hanna meandered around the southeastern Bahamas , weakening to a tropical storm while also dumping heavy rain on already-devastated Haiti .""",meandered,wandered:29 wondered:1 moved:2 strolled:2 traveled:3 navigated:1 drifted:4 walked:4 twisted:1 blew:1 went:1 curved:1 zigzagged:1
